+-------------------+------------------+-------------------+------------------+-------------------+
|      a-b-c-d      |     a-b-c-e      |      a-b-d-e      |     a-c-d-e      |      b-c-d-e      |
|  a100-b50-c21-d27 | a86-b41-c31-e97  |  a96-b16-d26-e25  | a88-c12-d65-e24  |  b97-c75-d16-e94  |
|  a100-b50-c21-d89 | a86-b41-c53-e15  |  a96-b16-d26-e51  | a88-c12-d65-e36  |  b97-c75-d26-e21  |
|  a100-b50-c21-d98 | a86-b41-c53-e29  |  a96-b16-d26-e75  | a88-c12-d65-e45  |  b97-c75-d26-e51  |
|  a100-b50-c58-d3  | a86-b41-c53-e68  |  a96-b23-d26-e21  | a88-c12-d69-e24  |  b97-c75-d26-e75  |
|  a100-b50-c58-d27 | a86-b41-c81-e68  |  a96-b23-d26-e25  | a88-c12-d69-e36  |  b97-c75-d26-e94  |
|  a100-b50-c58-d41 | a86-b41-c81-e97  |  a96-b23-d26-e51  | a88-c12-d69-e45  |  b97-c75-d88-e21  |
|  a100-b50-c58-d59 | a86-b41-c88-e15  |  a96-b23-d26-e75  | a88-c12-d70-e24  |  b97-c75-d88-e51  |
|  a100-b50-c58-d68 | a86-b41-c88-e29  |  a96-b26-d12-e30  | a88-c12-d70-e36  |  b97-c75-d88-e75  |
|  a100-b50-c58-d89 | a86-b41-c88-e68  |  a96-b26-d17-e30  | a88-c12-d70-e45  |  b97-c75-d88-e94  |
|  a100-b50-c58-d98 |  a86-b43-c2-e15  |  a96-b26-d51-e30  | a88-c12-d93-e24  |   b97-c80-d1-e21  |
|  a100-b50-c66-d3  |  a86-b43-c2-e29  |  a96-b36-d26-e21  | a88-c12-d93-e36  |   b97-c80-d1-e51  |
|  a100-b50-c66-d27 |  a86-b43-c2-e68  |  a96-b36-d26-e25  | a88-c12-d93-e45  |   b97-c80-d1-e75  |
|   a100-b60-c5-d3  |  a86-b43-c2-e97  |  a96-b36-d26-e51  |  a88-c27-d9-e45  |   b97-c80-d1-e94  |
|  a100-b60-c5-d27  | a86-b43-c19-e15  |  a96-b36-d26-e75  | a88-c27-d9-e100  |  b97-c80-d16-e21  |
|  a100-b60-c5-d41  | a86-b43-c19-e29  |  a96-b46-d51-e30  | a88-c27-d49-e24  |  b97-c80-d16-e51  |
|  a100-b60-c5-d59  | a86-b43-c19-e68  |  a96-b49-d12-e30  | a88-c27-d49-e45  |  b97-c80-d16-e75  |
|  a100-b60-c5-d68  | a86-b43-c19-e97  |  a96-b49-d17-e21  | a88-c27-d49-e100 |  b97-c80-d16-e94  |
|  a100-b60-c5-d89  | a86-b43-c31-e15  |  a96-b49-d17-e30  | a88-c63-d46-e12  |  b97-c80-d17-e21  |
|  a100-b60-c5-d98  | a86-b43-c31-e29  |  a96-b49-d17-e51  | a88-c63-d46-e24  |  b97-c80-d17-e51  |
|  a100-b60-c21-d3  | a86-b43-c31-e68  |  a96-b49-d17-e75  | a88-c63-d46-e36  |  b97-c80-d17-e75  |
|  a100-b60-c21-d27 | a86-b43-c31-e97  |  a96-b49-d26-e21  | a88-c63-d46-e45  |  b97-c80-d17-e94  |
|  a100-b60-c21-d89 | a86-b43-c53-e15  |  a96-b49-d26-e51  | a88-c63-d49-e12  |  b97-c80-d26-e21  |
|  a100-b60-c21-d98 | a86-b43-c53-e29  |  a96-b49-d26-e75  | a88-c63-d49-e24  |  b97-c80-d26-e51  |
|  a100-b60-c58-d3  | a86-b43-c53-e68  |  a96-b49-d51-e21  | a88-c63-d49-e45  |  b97-c80-d26-e75  |
|  a100-b60-c58-d27 | a86-b43-c88-e15  |  a96-b49-d51-e30  | a88-c63-d69-e12  |  b97-c80-d26-e94  |
|  a100-b60-c58-d41 | a86-b43-c88-e29  |  a96-b49-d51-e51  | a88-c63-d69-e24  |  b97-c80-d51-e21  |
|  a100-b60-c58-d59 | a86-b43-c88-e68  |  a96-b49-d51-e75  | a88-c63-d69-e36  |  b97-c80-d51-e51  |
|  a100-b60-c58-d68 |  a86-b57-c2-e15  |  a96-b75-d17-e21  | a88-c63-d69-e45  |  b97-c80-d51-e75  |
|  a100-b60-c58-d89 |  a86-b57-c2-e29  |  a96-b75-d17-e30  | a88-c63-d70-e24  |  b97-c80-d88-e21  |
|  a100-b60-c58-d98 |  a86-b57-c2-e68  |  a96-b75-d17-e51  | a88-c63-d70-e36  |  b97-c80-d88-e51  |
|   a100-b78-c5-d3  |  a86-b57-c2-e97  |  a96-b75-d17-e75  | a88-c63-d70-e45  |  b97-c80-d88-e75  |
|  a100-b78-c5-d27  | a86-b57-c19-e15  |  a96-b75-d26-e21  | a88-c69-d9-e100  |  b97-c80-d88-e94  |
|  a100-b78-c5-d41  | a86-b57-c19-e29  |  a96-b75-d26-e25  | a88-c69-d49-e12  |  b97-c100-d12-e78 |
|  a100-b78-c5-d59  | a86-b57-c19-e68  |  a96-b75-d26-e51  | a88-c69-d49-e100 |  b97-c100-d12-e95 |
|  a100-b78-c5-d68  | a86-b57-c19-e97  |  a96-b75-d26-e75  |  a88-c74-d9-e45  |  b97-c100-d16-e78 |
|  a100-b78-c5-d89  | a86-b57-c28-e29  |  a96-b75-d51-e21  | a88-c74-d9-e100  |  b97-c100-d17-e78 |
|  a100-b78-c5-d98  | a86-b57-c28-e68  |  a96-b75-d51-e30  | a88-c74-d46-e12  |  b97-c100-d17-e95 |
|  a100-b78-c58-d3  | a86-b57-c31-e15  |  a96-b75-d51-e51  | a88-c74-d46-e24  |  b97-c100-d88-e78 |
|  a100-b78-c58-d27 | a86-b57-c31-e29  |  a96-b75-d51-e75  | a88-c74-d46-e45  |    b98-c1-d3-e4   |
|  a100-b78-c58-d41 | a86-b57-c31-e68  |  a96-b80-d12-e30  | a88-c74-d49-e12  |   b98-c1-d3-e31   |
|  a100-b78-c58-d59 | a86-b57-c31-e97  |  a96-b80-d17-e21  | a88-c74-d49-e24  |   b98-c1-d3-e67   |
|  a100-b78-c58-d68 | a86-b57-c53-e15  |  a96-b80-d17-e30  | a88-c74-d49-e45  |   b98-c1-d3-e74   |
|  a100-b78-c58-d89 | a86-b57-c53-e29  |  a96-b80-d17-e51  | a88-c74-d49-e100 |   b98-c1-d27-e4   |
|  a100-b78-c58-d98 | a86-b57-c53-e68  |  a96-b80-d17-e75  | a88-c74-d69-e12  |   b98-c1-d27-e31  |
|   a100-b79-c5-d3  | a86-b57-c81-e68  |  a96-b80-d26-e21  | a88-c74-d69-e24  |   b98-c1-d27-e67  |
|  a100-b79-c5-d27  | a86-b57-c81-e97  |  a96-b80-d26-e51  | a88-c74-d69-e45  |   b98-c1-d27-e74  |
|  a100-b79-c5-d68  | a86-b57-c88-e15  |  a96-b80-d26-e75  | a88-c74-d93-e24  |   b98-c1-d38-e4   |
|  a100-b79-c5-d89  | a86-b57-c88-e29  |  a96-b80-d51-e21  | a88-c74-d93-e45  |   b98-c1-d38-e31  |
|  a100-b79-c5-d98  | a86-b57-c88-e68  |  a96-b80-d51-e30  |  a88-c76-d9-e45  |   b98-c1-d38-e67  |
|  a100-b79-c21-d3  |  a86-b83-c2-e15  |  a96-b80-d51-e51  | a88-c76-d9-e100  |   b98-c1-d38-e74  |
|  a100-b79-c21-d27 |  a86-b83-c2-e29  |  a96-b80-d51-e75  | a88-c76-d46-e12  |   b98-c1-d76-e4   |
|  a100-b79-c21-d89 |  a86-b83-c2-e68  |  a96-b95-d26-e25  | a88-c76-d46-e24  |   b98-c1-d76-e31  |
|  a100-b79-c21-d98 |  a86-b83-c2-e97  |  a96-b95-d51-e30  | a88-c76-d46-e45  |   b98-c1-d76-e67  |
|  a100-b79-c58-d3  | a86-b83-c19-e15  |   a97-b3-d19-e5   | a88-c76-d49-e12  |   b98-c1-d76-e74  |
|  a100-b79-c58-d27 | a86-b83-c19-e29  |   a97-b3-d19-e6   | a88-c76-d49-e24  |   b98-c1-d89-e31  |
|  a100-b79-c58-d68 | a86-b83-c19-e68  |   a97-b3-d19-e11  | a88-c76-d49-e45  |   b98-c1-d89-e67  |
|  a100-b79-c58-d89 | a86-b83-c19-e97  |   a97-b3-d19-e37  | a88-c76-d49-e100 |   b98-c1-d89-e74  |
|  a100-b79-c58-d98 | a86-b83-c28-e29  |   a97-b3-d19-e81  | a88-c76-d69-e12  |    b98-c5-d3-e4   |
|   a100-b86-c5-d3  | a86-b83-c28-e68  |   a97-b3-d21-e5   | a88-c76-d69-e24  |   b98-c5-d3-e31   |
|  a100-b86-c5-d27  | a86-b83-c31-e15  |   a97-b3-d21-e6   | a88-c76-d69-e45  |   b98-c5-d3-e55   |
|  a100-b86-c5-d41  | a86-b83-c31-e29  |   a97-b3-d21-e11  | a88-c76-d70-e24  |   b98-c5-d3-e67   |
|  a100-b86-c5-d59  | a86-b83-c31-e68  |   a97-b3-d21-e37  | a88-c76-d70-e45  |   b98-c5-d3-e74   |
|  a100-b86-c5-d68  | a86-b83-c31-e97  |   a97-b3-d21-e81  | a88-c76-d93-e24  |   b98-c5-d27-e4   |
|  a100-b86-c5-d89  | a86-b83-c53-e15  |   a97-b3-d23-e11  | a88-c76-d93-e45  |   b98-c5-d27-e31  |
|  a100-b86-c5-d98  | a86-b83-c53-e29  |   a97-b3-d23-e37  | a88-c81-d49-e24  |   b98-c5-d27-e55  |
|  a100-b86-c21-d3  | a86-b83-c53-e68  |   a97-b3-d23-e81  | a88-c81-d49-e45  |   b98-c5-d27-e67  |
|  a100-b86-c21-d27 | a86-b83-c88-e15  |   a97-b3-d37-e5   | a88-c81-d65-e24  |   b98-c5-d27-e74  |
|  a100-b86-c21-d89 | a86-b83-c88-e29  |   a97-b3-d37-e6   | a88-c81-d65-e36  |   b98-c5-d38-e4   |
|  a100-b86-c21-d98 | a86-b83-c88-e68  |   a97-b3-d37-e11  | a88-c81-d65-e45  |   b98-c5-d38-e31  |
|  a100-b86-c58-d3  | a86-b85-c45-e97  |   a97-b3-d37-e37  | a88-c81-d70-e24  |   b98-c5-d38-e67  |
|  a100-b86-c58-d27 | a86-b85-c81-e97  |   a97-b3-d53-e5   | a88-c81-d70-e36  |   b98-c5-d38-e74  |
|  a100-b86-c58-d41 | a86-b100-c2-e15  |   a97-b3-d53-e6   | a88-c81-d70-e45  |   b98-c5-d41-e55  |
|  a100-b86-c58-d59 | a86-b100-c2-e29  |   a97-b3-d53-e11  | a88-c81-d93-e24  |   b98-c5-d59-e55  |
|  a100-b86-c58-d68 | a86-b100-c2-e68  |   a97-b3-d53-e37  | a88-c81-d93-e36  |   b98-c5-d68-e31  |
|  a100-b86-c58-d89 | a86-b100-c2-e97  |   a97-b3-d53-e81  | a88-c81-d93-e45  |   b98-c5-d68-e55  |
|  a100-b86-c58-d98 | a86-b100-c9-e68  |   a97-b3-d82-e5   | a88-c86-d46-e24  |   b98-c5-d68-e74  |
|   a100-b98-c5-d3  | a86-b100-c12-e68 |   a97-b3-d82-e6   | a88-c86-d46-e36  |   b98-c5-d76-e4   |
|  a100-b98-c5-d27  | a86-b100-c19-e15 |   a97-b3-d82-e11  | a88-c86-d46-e45  |   b98-c5-d76-e31  |
|  a100-b98-c5-d41  | a86-b100-c19-e29 |   a97-b3-d82-e37  | a88-c86-d65-e24  |   b98-c5-d76-e67  |
|  a100-b98-c5-d59  | a86-b100-c19-e68 |   a97-b3-d82-e81  | a88-c86-d65-e36  |   b98-c5-d76-e74  |
|  a100-b98-c5-d68  | a86-b100-c19-e97 |   a97-b3-d87-e5   | a88-c86-d65-e45  |   b98-c5-d89-e31  |
|  a100-b98-c5-d89  | a86-b100-c28-e29 |   a97-b3-d87-e6   | a88-c86-d69-e24  |   b98-c5-d89-e55  |
|  a100-b98-c5-d98  | a86-b100-c28-e68 |   a97-b3-d87-e11  | a88-c86-d69-e36  |   b98-c5-d89-e67  |
|  a100-b98-c21-d3  | a86-b100-c31-e15 |   a97-b3-d87-e37  | a88-c86-d69-e45  |   b98-c5-d89-e74  |
|  a100-b98-c21-d27 | a86-b100-c31-e29 |   a97-b3-d87-e81  | a88-c86-d70-e24  |   b98-c5-d98-e31  |
|  a100-b98-c21-d89 | a86-b100-c31-e68 |   a97-b3-d97-e5   | a88-c86-d70-e36  |   b98-c5-d98-e55  |
|  a100-b98-c21-d98 | a86-b100-c31-e97 |   a97-b3-d97-e6   | a88-c86-d70-e45  |   b98-c5-d98-e67  |
|  a100-b98-c58-d3  | a86-b100-c53-e15 |   a97-b3-d97-e11  | a88-c86-d93-e24  |   b98-c5-d98-e74  |
|  a100-b98-c58-d27 | a86-b100-c53-e29 |   a97-b3-d97-e37  | a88-c86-d93-e36  |   b98-c11-d3-e4   |
|  a100-b98-c58-d41 | a86-b100-c53-e68 |  a97-b41-d22-e15  | a88-c86-d93-e45  |   b98-c11-d3-e31  |
|  a100-b98-c58-d59 | a86-b100-c81-e68 |  a97-b41-d22-e96  | a88-c89-d46-e12  |   b98-c11-d3-e67  |
|  a100-b98-c58-d68 | a86-b100-c81-e97 |  a97-b41-d22-e97  | a88-c89-d46-e24  |   b98-c11-d3-e74  |
|  a100-b98-c58-d89 | a86-b100-c88-e15 |  a97-b41-d45-e15  | a88-c89-d46-e36  |   b98-c11-d27-e4  |
|  a100-b98-c58-d98 | a86-b100-c88-e29 |  a97-b41-d45-e96  | a88-c89-d46-e45  |  b98-c11-d27-e31  |
|  a100-b98-c66-d3  | a86-b100-c88-e68 |  a97-b41-d45-e97  | a88-c89-d49-e12  |  b98-c11-d27-e67  |
|  a100-b98-c66-d27 |  a87-b7-c51-e5   |  a97-b41-d50-e15  | a88-c89-d49-e24  |  b98-c11-d27-e74  |
|                   |  a87-b7-c51-e6   |  a97-b41-d50-e96  | a88-c89-d49-e45  |   b98-c11-d38-e4  |
|                   |  a87-b7-c51-e20  |  a97-b41-d50-e97  | a88-c89-d65-e24  |  b98-c11-d38-e31  |
|                   |  a87-b7-c51-e96  |  a97-b41-d86-e15  | a88-c89-d65-e36  |  b98-c11-d38-e67  |
|                   |  a87-b7-c59-e2   |  a97-b41-d86-e96  | a88-c89-d65-e45  |  b98-c11-d38-e74  |
|                   |  a87-b7-c59-e5   |  a97-b41-d86-e97  | a88-c89-d69-e12  |   b98-c11-d76-e4  |
|                   |  a87-b7-c59-e6   |  a97-b41-d97-e15  | a88-c89-d69-e24  |  b98-c11-d76-e31  |
|                   |  a87-b7-c59-e20  |  a97-b41-d97-e96  | a88-c89-d69-e36  |  b98-c11-d76-e67  |
|                   |  a87-b7-c59-e96  |   a97-b43-d19-e5  | a88-c89-d69-e45  |  b98-c11-d76-e74  |
|                   |  a87-b27-c51-e5  |   a97-b43-d19-e6  | a88-c89-d70-e24  |   b98-c21-d3-e4   |
|                   |  a87-b27-c51-e6  |  a97-b43-d19-e11  | a88-c89-d70-e36  |   b98-c21-d3-e31  |
|                   | a87-b27-c51-e20  |  a97-b43-d19-e15  | a88-c89-d70-e45  |   b98-c21-d3-e55  |
|                   | a87-b27-c51-e96  |  a97-b43-d19-e37  | a88-c89-d93-e24  |   b98-c21-d3-e67  |
|                   |  a87-b27-c59-e2  |   a97-b43-d22-e5  | a88-c89-d93-e36  |   b98-c21-d3-e74  |
|                   |  a87-b27-c59-e5  |  a97-b43-d22-e15  | a88-c89-d93-e45  |   b98-c21-d27-e4  |
|                   |  a87-b27-c59-e6  |  a97-b43-d22-e37  |  a88-c98-d9-e45  |  b98-c21-d27-e31  |
|                   | a87-b27-c59-e20  |  a97-b43-d22-e96  | a88-c98-d9-e100  |  b98-c21-d27-e55  |
|                   | a87-b27-c59-e96  |  a97-b43-d22-e97  | a88-c98-d46-e12  |  b98-c21-d27-e67  |
|                   |  a87-b43-c51-e5  |   a97-b43-d37-e5  | a88-c98-d46-e24  |  b98-c21-d27-e74  |
|                   |  a87-b43-c51-e6  |   a97-b43-d37-e6  | a88-c98-d46-e36  |   b98-c21-d38-e4  |
|                   | a87-b43-c51-e11  |  a97-b43-d37-e11  | a88-c98-d46-e45  |  b98-c21-d38-e31  |
|                   | a87-b43-c51-e20  |  a97-b43-d37-e15  | a88-c98-d49-e12  |  b98-c21-d38-e67  |
|                   | a87-b43-c51-e96  |  a97-b43-d37-e37  | a88-c98-d49-e24  |  b98-c21-d38-e74  |
|                   |  a87-b43-c59-e5  |  a97-b43-d37-e96  | a88-c98-d49-e45  |   b98-c21-d76-e4  |
|                   |  a87-b43-c59-e6  |  a97-b43-d45-e15  | a88-c98-d49-e100 |  b98-c21-d76-e31  |
|                   | a87-b43-c59-e11  |  a97-b43-d45-e96  | a88-c98-d69-e12  |  b98-c21-d76-e67  |
|                   | a87-b43-c59-e20  |  a97-b43-d45-e97  | a88-c98-d69-e24  |  b98-c21-d76-e74  |
|                   | a87-b43-c59-e96  |  a97-b43-d50-e15  | a88-c98-d69-e36  |  b98-c21-d89-e31  |
|                   |  a87-b93-c51-e5  |  a97-b43-d50-e96  | a88-c98-d69-e45  |  b98-c21-d89-e55  |
|                   |  a87-b93-c51-e6  |  a97-b43-d50-e97  | a88-c98-d70-e24  |  b98-c21-d89-e67  |
|                   | a87-b93-c51-e11  |   a97-b43-d82-e5  | a88-c98-d70-e36  |  b98-c21-d89-e74  |
|                   | a87-b93-c51-e20  |   a97-b43-d82-e6  | a88-c98-d70-e45  |  b98-c21-d98-e31  |
|                   | a87-b93-c51-e96  |  a97-b43-d82-e11  | a88-c98-d93-e24  |  b98-c21-d98-e55  |
|                   |  a87-b93-c59-e5  |  a97-b43-d82-e15  | a88-c98-d93-e36  |  b98-c21-d98-e67  |
|                   |  a87-b93-c59-e6  |  a97-b43-d82-e37  | a88-c98-d93-e45  |  b98-c21-d98-e74  |
|                   | a87-b93-c59-e11  |   a97-b43-d86-e5  |  a89-c4-d28-e8   |   b98-c48-d3-e4   |
|                   | a87-b93-c59-e20  |   a97-b43-d86-e6  |  a89-c4-d28-e28  |   b98-c48-d3-e31  |
|                   | a87-b93-c59-e96  |  a97-b43-d86-e11  |  a89-c4-d28-e61  |   b98-c48-d3-e67  |
|                   |  a87-b93-c97-e5  |  a97-b43-d86-e15  |  a89-c4-d28-e71  |   b98-c48-d3-e74  |
|                   |  a87-b93-c97-e6  |  a97-b43-d86-e37  |  a89-c4-d31-e10  |   b98-c48-d27-e4  |
|                   | a87-b93-c97-e11  |  a97-b43-d86-e96  |  a89-c4-d31-e14  |  b98-c48-d27-e31  |
|                   | a88-b5-c27-e100  |  a97-b43-d86-e97  |  a89-c4-d31-e53  |  b98-c48-d27-e67  |
|                   |  a88-b8-c10-e24  |   a97-b43-d97-e5  |  a89-c4-d31-e63  |  b98-c48-d27-e74  |
|                   |  a88-b8-c10-e45  |   a97-b43-d97-e6  |  a89-c4-d72-e8   |   b98-c48-d38-e4  |
|                   |  a88-b8-c27-e24  |  a97-b43-d97-e11  |  a89-c4-d72-e10  |  b98-c48-d38-e31  |
|                   |  a88-b8-c27-e45  |  a97-b43-d97-e15  |  a89-c4-d72-e14  |  b98-c48-d38-e67  |
|                   | a88-b8-c27-e100  |  a97-b43-d97-e37  |  a89-c4-d72-e28  |  b98-c48-d38-e74  |
|                   |  a88-b8-c63-e12  |  a97-b43-d97-e96  |  a89-c4-d72-e53  |   b98-c48-d76-e4  |
|                   |  a88-b8-c63-e24  |  a97-b57-d22-e15  |  a89-c4-d72-e61  |  b98-c48-d76-e31  |
|                   |  a88-b8-c63-e45  |  a97-b57-d22-e96  |  a89-c4-d72-e63  |  b98-c48-d76-e67  |
|                   |  a88-b8-c69-e12  |  a97-b57-d22-e97  |  a89-c4-d72-e71  |  b98-c48-d76-e74  |
|                   | a88-b8-c69-e100  |  a97-b57-d43-e15  |  a89-c4-d79-e8   |  b98-c48-d89-e31  |
|                   |  a88-b8-c74-e12  |  a97-b57-d43-e97  |  a89-c4-d79-e14  |  b98-c48-d89-e67  |
|                   |  a88-b8-c74-e24  |  a97-b57-d45-e15  |  a89-c4-d79-e28  |  b98-c48-d89-e74  |
|                   |  a88-b8-c74-e45  |  a97-b57-d45-e96  |  a89-c4-d79-e61  |   b98-c58-d3-e25  |
|                   | a88-b8-c74-e100  |  a97-b57-d45-e97  |  a89-c4-d79-e63  |   b98-c58-d3-e31  |
|                   |  a88-b8-c76-e12  |  a97-b57-d50-e15  |  a89-c4-d79-e71  |   b98-c58-d3-e55  |
|                   |  a88-b8-c76-e24  |  a97-b57-d50-e96  | a89-c15-d31-e10  |   b98-c58-d3-e67  |
|                   |  a88-b8-c76-e45  |  a97-b57-d50-e97  | a89-c15-d31-e53  |   b98-c58-d3-e74  |
|                   | a88-b8-c76-e100  |  a97-b57-d86-e15  | a89-c15-d31-e63  |  b98-c58-d27-e31  |
|                   |  a88-b8-c89-e12  |  a97-b57-d86-e96  |  a89-c15-d72-e1  |  b98-c58-d27-e55  |
|                   |  a88-b8-c89-e24  |  a97-b57-d86-e97  | a89-c15-d72-e10  |  b98-c58-d27-e67  |
|                   |  a88-b8-c89-e45  |   a97-b83-d19-e5  | a89-c15-d72-e28  |  b98-c58-d27-e74  |
|                   |  a88-b8-c98-e12  |  a97-b83-d19-e15  | a89-c15-d72-e35  |  b98-c58-d38-e31  |
|                   |  a88-b8-c98-e24  |  a97-b83-d19-e37  | a89-c15-d72-e53  |  b98-c58-d38-e67  |
|                   |  a88-b8-c98-e45  |   a97-b83-d22-e5  | a89-c15-d72-e63  |  b98-c58-d38-e74  |
|                   | a88-b8-c98-e100  |  a97-b83-d22-e15  | a89-c15-d72-e71  |  b98-c58-d41-e25  |
|                   |  a88-b14-c9-e24  |  a97-b83-d22-e37  |  a89-c33-d28-e8  |  b98-c58-d41-e42  |
|                   |  a88-b14-c9-e45  |  a97-b83-d22-e96  | a89-c33-d28-e28  |  b98-c58-d41-e55  |
|                   | a88-b14-c10-e24  |  a97-b83-d22-e97  | a89-c33-d28-e71  |  b98-c58-d59-e25  |
|                   | a88-b14-c10-e45  |  a97-b83-d43-e15  |  a89-c33-d72-e1  |  b98-c58-d59-e42  |
|                   | a88-b14-c12-e24  |  a97-b83-d43-e97  |  a89-c33-d72-e8  |  b98-c58-d59-e55  |
|                   | a88-b14-c12-e45  |  a97-b83-d45-e15  | a89-c33-d72-e10  |  b98-c58-d68-e25  |
|                   | a88-b14-c27-e24  |  a97-b83-d45-e96  | a89-c33-d72-e28  |  b98-c58-d68-e31  |
|                   | a88-b14-c27-e45  |  a97-b83-d45-e97  | a89-c33-d72-e35  |  b98-c58-d68-e42  |
|                   | a88-b14-c27-e100 |  a97-b83-d50-e15  | a89-c33-d72-e53  |  b98-c58-d68-e55  |
|                   | a88-b14-c63-e12  |  a97-b83-d50-e96  | a89-c33-d72-e63  |  b98-c58-d68-e74  |
|                   | a88-b14-c63-e24  |  a97-b83-d50-e97  | a89-c33-d72-e71  |  b98-c58-d76-e31  |
|                   | a88-b14-c63-e45  |   a97-b83-d82-e5  |  a89-c33-d79-e8  |  b98-c58-d76-e67  |
|                   | a88-b14-c69-e12  |  a97-b83-d82-e15  | a89-c33-d79-e28  |  b98-c58-d76-e74  |
|                   | a88-b14-c69-e100 |  a97-b83-d82-e37  | a89-c33-d79-e63  |  b98-c58-d89-e25  |
|                   | a88-b14-c74-e12  |   a97-b83-d86-e5  | a89-c33-d79-e71  |  b98-c58-d89-e31  |
|                   | a88-b14-c74-e24  |  a97-b83-d86-e15  | a89-c39-d31-e10  |  b98-c58-d89-e42  |
|                   | a88-b14-c74-e45  |  a97-b83-d86-e37  | a89-c39-d31-e53  |  b98-c58-d89-e55  |
|                   | a88-b14-c74-e100 |  a97-b83-d86-e96  | a89-c39-d31-e63  |  b98-c58-d89-e67  |
|                   | a88-b14-c76-e12  |  a97-b83-d86-e97  | a90-c14-d26-e21  |  b98-c58-d89-e74  |
|                   | a88-b14-c76-e24  |  a97-b83-d90-e15  | a90-c14-d26-e25  |  b98-c58-d98-e25  |
|                   | a88-b14-c76-e45  |  a97-b83-d90-e37  | a90-c14-d26-e42  |  b98-c58-d98-e31  |
|                   | a88-b14-c76-e100 |  a97-b83-d90-e97  | a90-c14-d26-e51  |  b98-c58-d98-e42  |
|                   | a88-b14-c86-e24  |   a97-b83-d97-e5  | a90-c14-d26-e75  |  b98-c58-d98-e55  |
|                   | a88-b14-c86-e45  |  a97-b83-d97-e15  | a90-c14-d26-e86  |  b98-c58-d98-e67  |
|                   | a88-b14-c89-e12  |  a97-b83-d97-e37  | a90-c14-d26-e92  |  b98-c58-d98-e74  |
|                   | a88-b14-c89-e24  |  a97-b83-d97-e96  | a90-c14-d26-e94  |   b98-c66-d3-e4   |
|                   | a88-b14-c89-e45  |   a97-b93-d19-e5  |  a90-c22-d1-e21  |   b98-c66-d3-e31  |
|                   | a88-b14-c98-e12  |   a97-b93-d19-e6  |  a90-c22-d1-e75  |   b98-c66-d3-e67  |
|                   | a88-b14-c98-e24  |  a97-b93-d19-e11  |  a90-c22-d1-e86  |   b98-c66-d3-e74  |
|                   | a88-b14-c98-e45  |  a97-b93-d19-e15  |  a90-c22-d1-e94  |   b98-c66-d27-e4  |
|                   | a88-b14-c98-e100 |  a97-b93-d19-e37  | a90-c22-d16-e21  |  b98-c66-d27-e31  |
|                   | a88-b22-c27-e24  |   a97-b93-d21-e5  | a90-c22-d16-e75  |  b98-c66-d27-e67  |
|                   | a88-b22-c27-e45  |   a97-b93-d21-e6  | a90-c22-d16-e86  |  b98-c66-d27-e74  |
|                   | a88-b22-c27-e100 |  a97-b93-d21-e11  | a90-c22-d16-e94  |   b98-c66-d38-e4  |
|                   | a88-b22-c63-e12  |  a97-b93-d21-e37  | a90-c22-d17-e21  |  b98-c66-d38-e31  |
|                   | a88-b22-c63-e24  |   a97-b93-d22-e5  | a90-c22-d17-e75  |  b98-c66-d38-e67  |
|                   | a88-b22-c63-e45  |  a97-b93-d22-e15  | a90-c22-d17-e94  |  b98-c66-d38-e74  |
|                   | a88-b22-c69-e12  |  a97-b93-d22-e37  | a90-c22-d26-e21  |   b99-c16-d4-e39  |
|                   | a88-b22-c69-e100 |  a97-b93-d22-e96  | a90-c22-d26-e75  |   b99-c16-d4-e43  |
|                   | a88-b22-c74-e12  |  a97-b93-d22-e97  | a90-c22-d26-e86  |   b99-c16-d4-e56  |
|                   | a88-b22-c74-e24  |  a97-b93-d23-e11  | a90-c22-d26-e94  |   b99-c16-d4-e72  |
|                   | a88-b22-c74-e45  |  a97-b93-d23-e37  | a90-c22-d55-e21  |   b99-c16-d4-e90  |
|                   | a88-b22-c74-e100 |   a97-b93-d37-e5  | a90-c22-d55-e86  |  b99-c16-d24-e38  |
|                   | a88-b22-c76-e12  |   a97-b93-d37-e6  | a90-c22-d55-e94  |  b99-c16-d24-e39  |
|                   | a88-b22-c76-e24  |  a97-b93-d37-e11  | a90-c22-d88-e21  |  b99-c16-d24-e43  |
|                   | a88-b22-c76-e45  |  a97-b93-d37-e15  | a90-c22-d88-e75  |  b99-c16-d24-e56  |
|                   | a88-b22-c76-e100 |  a97-b93-d37-e37  | a90-c22-d88-e86  |  b99-c16-d24-e72  |
|                   | a88-b22-c89-e12  |  a97-b93-d37-e96  | a90-c22-d88-e94  |  b99-c16-d24-e73  |
|                   | a88-b22-c89-e24  |  a97-b93-d45-e15  |  a90-c29-d1-e21  |  b99-c16-d24-e90  |
|                   | a88-b22-c89-e45  |  a97-b93-d45-e96  |  a90-c29-d1-e51  |  b99-c16-d34-e38  |
|                   | a88-b22-c98-e12  |  a97-b93-d45-e97  |  a90-c29-d1-e75  |  b99-c16-d34-e39  |
|                   | a88-b22-c98-e24  |  a97-b93-d50-e15  |  a90-c29-d1-e86  |  b99-c16-d34-e43  |
|                   | a88-b22-c98-e45  |  a97-b93-d50-e96  |  a90-c29-d1-e92  |  b99-c16-d34-e56  |
|                   | a88-b22-c98-e100 |  a97-b93-d50-e97  |  a90-c29-d1-e94  |  b99-c16-d34-e70  |
