+-------------------+------------------+-------------------+------------------+-------------------+
|      a-b-c-d      |     a-b-c-e      |      a-b-d-e      |     a-c-d-e      |      b-c-d-e      |
|   a2-b7-c88-d75   |  a1-b36-c14-e94  |   a2-b1-d48-e20   |  a2-c19-d86-e68  |   b1-c82-d13-e52  |
|   a2-b7-c88-d84   |  a1-b36-c29-e21  |   a2-b1-d48-e29   |  a2-c19-d86-e96  |   b1-c82-d13-e54  |
|   a2-b7-c88-d86   |  a1-b36-c29-e25  |   a2-b1-d48-e46   |  a2-c30-d45-e20  |   b1-c82-d13-e64  |
|   a2-b7-c88-d97   |  a1-b36-c29-e42  |   a2-b1-d48-e68   |  a2-c30-d45-e29  |   b1-c82-d48-e18  |
|   a2-b27-c51-d37  |  a1-b36-c29-e51  |   a2-b1-d50-e29   |  a2-c30-d45-e68  |   b1-c82-d48-e29  |
|   a2-b27-c51-d73  |  a1-b36-c29-e75  |   a2-b1-d50-e68   |  a2-c30-d48-e20  |   b1-c82-d48-e46  |
|   a2-b27-c51-d84  |  a1-b36-c29-e86  |   a2-b1-d73-e20   |  a2-c30-d48-e29  |   b1-c82-d48-e52  |
|   a2-b27-c51-d86  |  a1-b36-c29-e92  |   a2-b1-d73-e29   |  a2-c30-d48-e46  |   b1-c82-d48-e54  |
|   a2-b27-c51-d97  |  a1-b36-c29-e94  |   a2-b1-d73-e46   |  a2-c30-d48-e68  |   b1-c82-d48-e64  |
|   a2-b27-c59-d37  |  a1-b36-c32-e21  |   a2-b1-d73-e68   |  a2-c30-d73-e20  |   b1-c82-d62-e18  |
|   a2-b27-c59-d73  |  a1-b36-c32-e51  |   a2-b1-d75-e20   |  a2-c30-d73-e29  |   b1-c82-d62-e33  |
|   a2-b27-c59-d84  |  a1-b36-c32-e75  |   a2-b1-d75-e29   |  a2-c30-d73-e46  |   b1-c82-d62-e46  |
|   a2-b27-c59-d86  |  a1-b36-c32-e86  |   a2-b1-d75-e46   |  a2-c30-d73-e68  |   b1-c82-d62-e52  |
|   a2-b27-c59-d97  |  a1-b36-c32-e92  |   a2-b1-d75-e68   |  a2-c30-d75-e20  |   b1-c82-d62-e54  |
|   a2-b27-c88-d73  |  a1-b36-c32-e94  |   a2-b7-d45-e20   |  a2-c30-d75-e29  |   b1-c82-d62-e64  |
|   a2-b27-c88-d84  |  a1-b36-c50-e21  |   a2-b7-d45-e29   |  a2-c30-d75-e46  |   b1-c82-d75-e18  |
|   a2-b27-c88-d86  |  a1-b36-c50-e42  |   a2-b7-d45-e68   |  a2-c30-d75-e68  |   b1-c82-d75-e29  |
|   a2-b27-c88-d97  |  a1-b36-c50-e51  |   a2-b7-d45-e96   |  a2-c31-d22-e5   |   b1-c82-d75-e33  |
|   a2-b34-c30-d48  |  a1-b36-c50-e75  |   a2-b7-d48-e20   |  a2-c31-d22-e15  |   b1-c82-d75-e46  |
|   a2-b34-c30-d73  |  a1-b36-c50-e86  |   a2-b7-d48-e29   |  a2-c31-d22-e68  |   b1-c82-d75-e52  |
|   a2-b34-c30-d75  |  a1-b36-c50-e92  |   a2-b7-d48-e46   |  a2-c31-d22-e96  |   b1-c82-d75-e54  |
|   a2-b34-c31-d48  |  a1-b36-c50-e94  |   a2-b7-d48-e68   |  a2-c31-d45-e15  |   b1-c82-d75-e64  |
|   a2-b34-c31-d73  |  a1-b36-c55-e21  |   a2-b7-d48-e96   |  a2-c31-d45-e20  |  b1-c82-d100-e18  |
|   a2-b34-c31-d75  |  a1-b36-c55-e51  |    a2-b7-d73-e5   |  a2-c31-d45-e29  |  b1-c82-d100-e29  |
|   a2-b34-c53-d48  |  a1-b36-c55-e75  |    a2-b7-d73-e6   |  a2-c31-d45-e68  |  b1-c82-d100-e33  |
|   a2-b34-c53-d73  |  a1-b36-c55-e94  |   a2-b7-d73-e20   |  a2-c31-d45-e96  |  b1-c82-d100-e52  |
|   a2-b34-c53-d75  |  a1-b36-c56-e25  |   a2-b7-d73-e29   |  a2-c31-d48-e20  |  b1-c82-d100-e54  |
|   a2-b34-c88-d48  |  a1-b36-c56-e51  |   a2-b7-d73-e46   |  a2-c31-d48-e29  |  b1-c82-d100-e64  |
|   a2-b34-c88-d73  |  a1-b36-c56-e55  |   a2-b7-d73-e68   |  a2-c31-d48-e46  |   b1-c88-d13-e18  |
|   a2-b34-c88-d75  |  a1-b36-c56-e75  |   a2-b7-d73-e96   |  a2-c31-d48-e68  |   b1-c88-d13-e29  |
|   a2-b41-c2-d22   |  a1-b36-c72-e21  |   a2-b7-d75-e20   |  a2-c31-d48-e96  |   b1-c88-d13-e64  |
|   a2-b41-c2-d45   |  a1-b36-c72-e25  |   a2-b7-d75-e29   |  a2-c31-d50-e15  |   b1-c88-d13-e68  |
|   a2-b41-c2-d48   |  a1-b36-c72-e42  |   a2-b7-d75-e46   |  a2-c31-d50-e29  |   b1-c88-d45-e20  |
