+--------------+---------------+--------------+--------------+--------------+--------------+---------------+--------------+---------------+--------------+
|    a-b-c     |     a-b-d     |    a-b-e     |    a-c-d     |    a-c-e     |    a-d-e     |     b-c-d     |    b-c-e     |     b-d-e     |    c-d-e     |
|  a2-b43-c88  |   a2-b83-d73  |  a2-b41-e46  |  a3-c39-d63  |  a2-c51-e5   |  a3-d18-e44  |   b4-c26-d47  |  b4-c49-e39  |   b3-d21-e37  |  c3-d11-e79  |
|  a2-b57-c2   |   a2-b83-d86  |  a2-b41-e68  |  a3-c39-d66  |  a2-c51-e6   |  a3-d18-e47  |   b4-c34-d2   |  b4-c49-e43  |   b3-d21-e81  |  c3-d11-e80  |
|  a2-b57-c19  |   a2-b83-d97  |  a2-b41-e96  |  a3-c39-d94  |  a2-c51-e15  |  a3-d31-e13  |   b4-c34-d3   |  b4-c49-e56  |   b3-d23-e11  |  c3-d11-e84  |
|  a2-b57-c31  |   a2-b90-d45  |  a2-b43-e5   |  a3-c42-d14  |  a2-c51-e20  |  a3-d31-e22  |   b4-c34-d47  |  b4-c49-e70  |   b3-d23-e37  |  c3-d30-e2   |
|  a2-b57-c51  |   a2-b90-d48  |  a2-b43-e6   |  a3-c42-d31  |  a2-c51-e96  |  a3-d31-e44  |   b4-c49-d2   |  b4-c49-e73  |   b3-d23-e81  |  c3-d30-e27  |
|  a2-b57-c53  |   a2-b90-d73  |  a2-b43-e15  |  a3-c42-d60  |  a2-c53-e15  |  a3-d31-e47  |   b4-c49-d47  |  b4-c56-e43  |   b3-d37-e5   |  c3-d30-e46  |
|  a2-b57-c88  |   a2-b90-d75  |  a2-b43-e20  |  a3-c42-d66  |  a2-c53-e20  |  a3-d60-e3   |   b4-c58-d3   |  b4-c56-e55  |   b3-d37-e6   |  c3-d30-e79  |
|  a2-b82-c30  |   a2-b93-d22  |  a2-b43-e29  |  a3-c42-d94  |  a2-c53-e29  |  a3-d60-e22  |   b4-c58-d27  |  b4-c56-e73  |   b3-d37-e11  |  c3-d30-e80  |
|  a2-b82-c31  |   a2-b93-d37  |  a2-b43-e46  |  a3-c44-d18  |  a2-c53-e46  |  a3-d63-e13  |   b4-c66-d2   |  b4-c58-e31  |   b3-d37-e37  |  c3-d30-e84  |
|  a2-b82-c53  |   a2-b93-d45  |  a2-b43-e68  |  a3-c44-d31  |  a2-c53-e68  |  a3-d63-e22  |   b4-c66-d3   |  b4-c58-e55  |   b3-d53-e5   |  c3-d73-e2   |
|  a2-b82-c59  |   a2-b93-d50  |  a2-b43-e96  |  a3-c44-d63  |  a2-c53-e96  |  a3-d63-e44  |   b4-c66-d27  |  b4-c58-e74  |   b3-d53-e6   |  c3-d73-e20  |
|  a2-b82-c88  |   a2-b93-d73  |  a2-b57-e15  |  a3-c44-d66  |  a2-c59-e5   |  a3-d63-e47  |   b4-c66-d47  |  b4-c66-e16  |   b3-d53-e11  |  c3-d73-e46  |
|  a2-b83-c2   |   a2-b93-d84  |  a2-b57-e29  |  a3-c57-d63  |  a2-c59-e6   |  a3-d66-e3   |   b5-c13-d6   |  b4-c66-e31  |   b3-d53-e37  |  c3-d73-e84  |
|  a2-b83-c19  |   a2-b93-d86  |  a2-b57-e68  |  a3-c57-d66  |  a2-c59-e15  |  a3-d66-e22  |   b5-c13-d9   |  b4-c66-e38  |   b3-d53-e81  |  c3-d84-e2   |
|  a2-b83-c31  |   a2-b93-d97  |  a2-b57-e96  |  a3-c62-d63  |  a2-c59-e20  |  a3-d66-e44  |   b5-c13-d58  |  b4-c66-e39  |   b3-d82-e5   |  c3-d84-e20  |
|  a2-b83-c51  |  a2-b100-d22  |  a2-b82-e20  |  a3-c62-d66  |  a2-c59-e29  |  a3-d94-e3   |   b5-c13-d61  |  b4-c66-e56  |   b3-d82-e6   |  c3-d84-e46  |
|  a2-b83-c53  |  a2-b100-d45  |  a2-b82-e29  |  a3-c65-d14  |  a2-c59-e46  |  a3-d94-e22  |   b5-c27-d6   |  b4-c66-e70  |   b3-d82-e11  |  c3-d84-e84  |
|  a2-b83-c59  |  a2-b100-d48  |  a2-b82-e46  |  a3-c65-d18  |  a2-c59-e96  |  a4-d15-e7   |   b5-c27-d9   |  b4-c66-e74  |   b3-d82-e37  |  c3-d96-e2   |
|  a2-b83-c88  |  a2-b100-d50  |  a2-b82-e96  |  a3-c65-d31  |  a2-c88-e5   |  a4-d15-e62  |   b5-c27-d49  |  b5-c13-e32  |   b3-d82-e81  |  c3-d96-e27  |
|  a2-b90-c30  |  a2-b100-d73  |  a2-b83-e5   |  a3-c65-d63  |  a2-c88-e15  |  a4-d15-e89  |   b5-c27-d58  |  b5-c13-e83  |   b3-d87-e5   |  c3-d96-e46  |
|  a2-b90-c31  |  a2-b100-d75  |  a2-b83-e15  |  a3-c65-d66  |  a2-c88-e20  |  a4-d20-e7   |   b5-c27-d61  |  b5-c27-e32  |   b3-d87-e6   |  c3-d96-e79  |
|  a2-b90-c53  |  a2-b100-d86  |  a2-b83-e20  |  a3-c78-d18  |  a2-c88-e29  |  a4-d20-e62  |   b5-c45-d33  |  b5-c27-e83  |   b3-d87-e11  |  c3-d96-e80  |
|  a2-b90-c88  |   a3-b12-d18  |  a2-b83-e29  |  a3-c78-d31  |  a2-c88-e46  |  a4-d20-e89  |   b5-c45-d67  | b5-c27-e100  |   b3-d87-e37  |  c3-d96-e84  |
|  a2-b93-c2   |   a3-b12-d31  |  a2-b83-e68  |  a3-c78-d63  |  a2-c88-e68  |  a4-d25-e7   |   b5-c77-d6   |  b5-c45-e88  |   b3-d87-e81  |  c4-d28-e8   |
|  a2-b93-c19  |   a3-b12-d63  |  a2-b83-e96  |  a3-c78-d66  |  a2-c88-e96  |  a4-d25-e17  |   b5-c77-d33  |  b5-c45-e99  |   b3-d97-e5   |  c4-d28-e28  |
|  a2-b93-c31  |   a3-b25-d14  |  a2-b90-e20  |  a3-c79-d18  |  a3-c35-e13  |  a4-d25-e62  |   b5-c77-d58  |  b5-c77-e32  |   b3-d97-e6   |  c4-d28-e61  |
|  a2-b93-c51  |   a3-b25-d60  |  a2-b90-e29  |  a3-c79-d31  |  a3-c35-e22  |  a4-d56-e7   |   b5-c77-d67  |  b5-c77-e83  |   b3-d97-e11  |  c4-d28-e71  |
|  a2-b93-c59  |   a3-b25-d66  |  a2-b90-e46  |  a3-c79-d63  |  a3-c35-e44  |  a4-d56-e17  |   b5-c94-d6   |  b5-c77-e88  |   b3-d97-e37  |  c4-d31-e10  |
|  a2-b93-c88  |   a3-b25-d94  |  a2-b90-e68  |  a3-c79-d66  |  a3-c35-e47  |  a4-d56-e62  |   b5-c94-d9   |  b5-c77-e99  |   b4-d2-e16   |  c4-d31-e14  |
|  a2-b100-c2  |   a3-b59-d18  |  a2-b90-e96  |  a3-c90-d14  |  a3-c37-e3   |  a4-d56-e89  |   b5-c94-d58  |  b5-c94-e32  |   b4-d2-e38   |  c4-d31-e53  |
| a2-b100-c19  |   a3-b59-d31  |  a2-b93-e5   |  a3-c90-d18  |  a3-c37-e22  |  a4-d91-e7   |   b5-c94-d61  |  b5-c94-e83  |   b4-d2-e39   |  c4-d31-e63  |
| a2-b100-c30  |   a3-b59-d63  |  a2-b93-e6   |  a3-c90-d31  |  a3-c37-e44  |  a4-d91-e62  |   b6-c14-d26  | b5-c94-e100  |   b4-d2-e43   |  c4-d32-e8   |
| a2-b100-c31  |   a3-b67-d14  |  a2-b93-e15  |  a3-c90-d63  |  a3-c39-e13  |  a4-d91-e89  |   b6-c14-d41  |  b6-c14-e21  |   b4-d2-e56   |  c4-d32-e14  |
| a2-b100-c53  |   a3-b67-d60  |  a2-b93-e20  |  a3-c90-d66  |  a3-c39-e22  |  a5-d4-e33   |   b6-c14-d59  |  b6-c14-e25  |   b4-d2-e70   |  c4-d32-e61  |
| a2-b100-c88  |   a3-b67-d66  |  a2-b93-e96  |  a3-c90-d94  |  a3-c39-e44  |  a5-d4-e36   |   b6-c14-d68  |  b6-c14-e42  |   b4-d2-e73   |  c4-d32-e66  |
|  a3-b12-c35  |   a3-b67-d94  | a2-b100-e15  |  a3-c95-d14  |  a3-c39-e47  |  a5-d4-e41   |   b6-c14-d98  |  b6-c14-e51  |   b4-d3-e31   |  c4-d54-e8   |
|  a3-b12-c39  |   a3-b71-d14  | a2-b100-e20  |  a3-c95-d31  |  a3-c42-e3   |  a5-d4-e52   |   b6-c34-d3   |  b6-c14-e55  |   b4-d3-e55   |  c4-d54-e14  |
